trial_id,parameters,auc,primary_metric,bkg_rej_@99%
546,463,0.9056834153017189,0.693058919214733,0.693058919214733
552,595,0.884111751993619,0.6621072077547083,0.6621072077547083
538,331,0.8969978562300481,0.6411421625985287,0.6411421625985287
557,501,0.8812723383819475,0.630974085462643,0.630974085462643
533,281,0.890163563619619,0.6221454249699916,0.6221454249699916
559,415,0.85825384142731,0.6108102714813102,0.6108102714813102
530,155,0.8526639868594303,0.6046362561641889,0.6046362561641889
525,99,0.8606186053310594,0.5994932590758327,0.5994932590758327
542,391,0.857602516606803,0.5967509319981497,0.5967509319981497
524,61,0.8647715726175921,0.5957047962000478,0.5957047962000478
536,91,0.8597348010573974,0.5955112913125375,0.5955112913125375
520,171,0.8634974643940514,0.589491475202651,0.589491475202651
547,325,0.862589287960891,0.5831572136505604,0.5831572136505604
523,121,0.8695275468172509,0.5795289970097448,0.5795289970097448
555,337,0.8475561408976968,0.5682724548816143,0.5682724548816143
531,193,0.8759051033499141,0.5647288966290844,0.5647288966290844
554,205,0.8575496487745786,0.5601029204120445,0.5601029204120445
526,79,0.8517750726260135,0.5597400987479629,0.5597400987479629
545,265,0.8505668093630729,0.5493361875304241,0.5493361875304241
556,151,0.8483637709755644,0.5438908390553333,0.5438908390553333
537,121,0.8530129580123643,0.5187170625958075,0.5187170625958075
549,163,0.8279372453322973,0.5158356538802265,0.5158356538802265
544,31,0.7529683139420451,0.5154244559942673,0.5154244559942673
521,145,0.8475857509678597,0.5123283777941048,0.5123283777941048
529,199,0.8530601917171321,0.5022812412129128,0.5022812412129128
541,121,0.8459506677090143,0.4865861807275179,0.4865861807275179
543,211,0.8608240566777532,0.48088988060143734,0.48088988060143734
527,31,0.8398083225480358,0.46309045446436936,0.46309045446436936
548,55,0.8371103277980824,0.461140288019931,0.461140288019931
540,85,0.839118311406812,0.4107564529344714,0.4107564529344714
550,105,0.8502129277848753,0.39674851318705573,0.39674851318705573
532,65,0.8495544252213764,0.34565415234276975,0.34565415234276975
528,19,0.8311355457461963,0.28001366628268043,0.28001366628268043
522,45,0.836310492075704,0.25037415984108413,0.25037415984108413
551,267,0.5,0.0,0.0
553,67,0.8149003994839498,0.0,0.0
535,43,0.5,0.0,0.0
534,25,0.5,0.0,0.0
558,37,0.5,0.0,0.0
