trial_id,hp_tag,parameters,auc,primary_metric,bkg_rej_@95%,bkg_rej_@98%,bkg_rej_@99%
hp4q_trial_006,hp4q,463,0.9056834153017189,0.728724893496724,0.7791927822676958,0.731705473467154,0.693058919214733
hp5q_trial_002,hp5q,595,0.884111751993619,0.6992625649677543,0.7377585482295814,0.7043789551340778,0.6621072077547083
hp3q_trial_003,hp3q,281,0.890163563619619,0.6760667712802464,0.7426808288056213,0.6819565762938371,0.6221454249699916
hp3q_trial_008,hp3q,331,0.8969978562300481,0.6747276569883988,0.7336042401758476,0.6759125720730118,0.6411421625985287
hp5q_trial_007,hp5q,501,0.8812723383819475,0.6630263559703815,0.7012889239616498,0.6667180664024115,0.630974085462643
hp4q_trial_002,hp4q,391,0.857602516606803,0.6454624615635799,0.6935487284612432,0.652510574739751,0.5967509319981497
hp3q_trial_006,hp3q,91,0.8597348010573974,0.6427044122137866,0.6648706994294629,0.6530215485833326,0.5955112913125375
hp5q_trial_009,hp5q,415,0.85825384142731,0.6389165540407751,0.6865976700802139,0.6401353324807024,0.6108102714813102
hp4q_trial_007,hp4q,325,0.862589287960891,0.6338494471504892,0.6837192848785001,0.6412086799036103,0.5831572136505604
hp3q_trial_000,hp3q,155,0.8526639868594303,0.633463646781016,0.6804811015265722,0.6349832648507443,0.6046362561641889
hp2q_trial_000,hp2q,171,0.8634974643940514,0.6240224223788402,0.6670476294139522,0.6277419491384497,0.589491475202651
hp3q_trial_001,hp3q,193,0.8759051033499141,0.6236653453911065,0.6951179321583958,0.6302968183563573,0.5647288966290844
hp2q_trial_004,hp2q,61,0.8647715726175921,0.6208646644957837,0.6667059723469422,0.6215044400301142,0.5957047962000478
hp2q_trial_005,hp2q,99,0.8606186053310594,0.6202403088821767,0.6593618571631579,0.6205792447867062,0.5994932590758327
hp2q_trial_003,hp2q,121,0.8695275468172509,0.6181861335607016,0.6766321683734402,0.6208815961734409,0.5795289970097448
hp5q_trial_005,hp5q,337,0.8475561408976968,0.6114857244792753,0.6664489736682178,0.6159804801944724,0.5682724548816143
hp5q_trial_004,hp5q,205,0.8575496487745786,0.6103513020762469,0.670597234694217,0.6161014207491662,0.5601029204120445
hp5q_trial_006,hp5q,151,0.8483637709755644,0.6045869728881512,0.6685956685140336,0.6127846260366874,0.5438908390553333
hp2q_trial_006,hp2q,79,0.8517750726260135,0.5934483478008472,0.6431225641816406,0.5959829594758437,0.5597400987479629
hp4q_trial_005,hp4q,265,0.8505668093630729,0.5823792635324921,0.6398450751494371,0.5836107407306623,0.5493361875304241
hp4q_trial_009,hp4q,163,0.8279372453322973,0.5614586640301625,0.6336438482075097,0.5641816406190947,0.5158356538802265
hp3q_trial_007,hp3q,121,0.8530129580123643,0.5600391242694435,0.627421456668511,0.5622193801191869,0.5187170625958075
hp2q_trial_009,hp2q,199,0.8530601917171321,0.5571190145763604,0.6602991464620352,0.5580469309822489,0.5022812412129128
hp2q_trial_001,hp2q,145,0.8475857509678597,0.5549018718574352,0.6251024215322564,0.5570370773505553,0.5123283777941048
hp4q_trial_001,hp4q,121,0.8459506677090143,0.5529078644619203,0.6430590703904264,0.5589781732533916,0.4865861807275179
hp4q_trial_003,hp4q,211,0.8608240566777532,0.542621870285208,0.6654149319255853,0.5427177156748029,0.48088988060143734
hp4q_trial_004,hp4q,31,0.7529683139420451,0.5251408201583716,0.5275699111993977,0.5275699111993977,0.5154244559942673
hp4q_trial_008,hp4q,55,0.8371103277980824,0.5064137799668018,0.6034752268391279,0.5054831423984326,0.461140288019931
hp2q_trial_007,hp2q,31,0.8398083225480358,0.482230204298832,0.536241348970947,0.47998282644123347,0.46309045446436936
hp4q_trial_000,hp4q,85,0.839118311406812,0.4581379387496561,0.5562449167173105,0.45766022355861535,0.4107564529344714
hp5q_trial_000,hp5q,105,0.8502129277848753,0.4169549587139181,0.5052654493999837,0.4101124444807266,0.39674851318705573
hp3q_trial_002,hp3q,65,0.8495544252213764,0.4027202554264515,0.5389080882019466,0.3995694516252899,0.34565415234276975
hp2q_trial_008,hp2q,19,0.8311355457461963,0.3314381948412807,0.4540592185426059,0.3286136281864057,0.28001366628268043
hp2q_trial_002,hp2q,45,0.836310492075704,0.30791434989916583,0.43704590601104787,0.3059070390426346,0.25037415984108413
hp5q_trial_001,hp5q,267,0.5,0.0,0.0,0.0,0.0
hp5q_trial_003,hp5q,67,0.8149003994839498,0.0,0.0,0.0,0.0
hp3q_trial_005,hp3q,43,0.5,0.0,0.0,0.0,0.0
hp5q_trial_008,hp5q,37,0.5,0.0,0.0,0.0,0.0
hp3q_trial_004,hp3q,25,0.5,0.0,0.0,0.0,0.0
