model,trial_id,parameters,val_accuracy,metric_name,hyperparams,model_file
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,188,3365,0.8520624899846102,val_weighted_bkg_rej,"{'spatial_units': 64, 'z_global_units': 16, 'dense2_units': 12, 'dense3_units': 4, 'dropout_rate': 0.0, 'learning_rate': 0.00713086781830726}",/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2.5_quantized_4w0i_hyperparameter_results_20260211_225533/model_trial_188.h5
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,027,7177,0.8520513029833011,val_weighted_bkg_rej,"{'spatial_units': 144, 'z_global_units': 14, 'dense2_units': 12, 'dense3_units': 4, 'dropout_rate': 0.15000000000000002, 'learning_rate': 0.0026798596778915378}",/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2.5_quantized_4w0i_hyperparameter_results_20260211_225533/model_trial_027.h5
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,147,3365,0.8520144161141193,val_weighted_bkg_rej,"{'spatial_units': 64, 'z_global_units': 16, 'dense2_units': 12, 'dense3_units': 4, 'dropout_rate': 0.05, 'learning_rate': 0.0059237449094478485}",/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2.5_quantized_4w0i_hyperparameter_results_20260211_225533/model_trial_147.h5
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,005,2597,0.849232481004774,val_weighted_bkg_rej,"{'spatial_units': 48, 'z_global_units': 16, 'dense2_units': 12, 'dense3_units': 4, 'dropout_rate': 0.2, 'learning_rate': 0.0044890809309126225}",/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2.5_quantized_4w0i_hyperparameter_results_20260211_225533/model_trial_005.h5
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,042,2685,0.848668595668514,val_weighted_bkg_rej,"{'spatial_units': 64, 'z_global_units': 16, 'dense2_units': 4, 'dense3_units': 4, 'dropout_rate': 0.1, 'learning_rate': 0.0030932505442956165}",/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2.5_quantized_4w0i_hyperparameter_results_20260211_225533/model_trial_042.h5
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,190,1745,0.8442941758052372,val_weighted_bkg_rej,"{'spatial_units': 32, 'z_global_units': 10, 'dense2_units': 12, 'dense3_units': 4, 'dropout_rate': 0.25, 'learning_rate': 0.00397837121486654}",/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2.5_quantized_4w0i_hyperparameter_results_20260211_225533/model_trial_190.h5
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,003,2649,0.841422139982645,val_weighted_bkg_rej,"{'spatial_units': 64, 'z_global_units': 10, 'dense2_units': 4, 'dense3_units': 4, 'dropout_rate': 0.0, 'learning_rate': 0.0058263756897235135}",/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2.5_quantized_4w0i_hyperparameter_results_20260211_225533/model_trial_003.h5
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,026,1801,0.8410224314493819,val_weighted_bkg_rej,"{'spatial_units': 32, 'z_global_units': 14, 'dense2_units': 12, 'dense3_units': 4, 'dropout_rate': 0.1, 'learning_rate': 0.004767295172393763}",/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2.5_quantized_4w0i_hyperparameter_results_20260211_225533/model_trial_026.h5
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,064,1005,0.8361361306883633,val_weighted_bkg_rej,"{'spatial_units': 16, 'z_global_units': 12, 'dense2_units': 12, 'dense3_units': 4, 'dropout_rate': 0.05, 'learning_rate': 0.006296468723506783}",/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2.5_quantized_4w0i_hyperparameter_results_20260211_225533/model_trial_064.h5
model2.5_quantized_4w0i_hyperparameter_results_20260211_225533,021,1773,0.8358525250876063,val_weighted_bkg_rej,"{'spatial_units': 32, 'z_global_units': 12, 'dense2_units': 12, 'dense3_units': 4, 'dropout_rate': 0.2, 'learning_rate': 0.00263349573424098}",/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2.5_quantized_4w0i_hyperparameter_results_20260211_225533/model_trial_021.h5
